Year,Afghanistan_Medals,Algeria_Medals,Argentina_Medals,Armenia_Medals,Australasia_Medals,Australia_Medals,Austria_Medals,Azerbaijan_Medals,Bahamas_Medals,Bahrain_Medals,Barbados_Medals,Belarus_Medals,Belgium_Medals,Bermuda_Medals,Bohemia_Medals,Botswana_Medals,Brazil_Medals,British West Indies_Medals,Bulgaria_Medals,Burkina Faso_Medals,Burundi_Medals,Cameroon_Medals,Canada_Medals,Ceylon_Medals,Chile_Medals,China_Medals,Chinese Taipei_Medals,Colombia_Medals,Costa Rica_Medals,Croatia_Medals,Cuba_Medals,Cyprus_Medals,Czech Republic_Medals,Czechoslovakia_Medals,Denmark_Medals,Djibouti_Medals,Dominican Republic_Medals,East Germany_Medals,Ecuador_Medals,Egypt_Medals,Eritrea_Medals,Estonia_Medals,Ethiopia_Medals,Fiji_Medals,Finland_Medals,France_Medals,Gabon_Medals,Georgia_Medals,Germany_Medals,Ghana_Medals,Great Britain_Medals,Greece_Medals,Grenada_Medals,Guatemala_Medals,Guyana_Medals,Haiti_Medals,Hong Kong_Medals,Hungary_Medals,Iceland_Medals,Independent Olympic Athletes_Medals,Independent Olympic Participants_Medals,India_Medals,Indonesia_Medals,Iran_Medals,Iraq_Medals,Ireland_Medals,Israel_Medals,Italy_Medals,Ivory Coast_Medals,Jamaica_Medals,Japan_Medals,Jordan_Medals,Kazakhstan_Medals,Kenya_Medals,Kosovo_Medals,Kuwait_Medals,Kyrgyzstan_Medals,Latvia_Medals,Lebanon_Medals,Lithuania_Medals,Luxembourg_Medals,Macedonia_Medals,Malaysia_Medals,Mauritius_Medals,Mexico_Medals,Mixed team_Medals,Moldova_Medals,Mongolia_Medals,Montenegro_Medals,Morocco_Medals,Mozambique_Medals,Namibia_Medals,Netherlands Antilles_Medals,Netherlands_Medals,New Zealand_Medals,Niger_Medals,Nigeria_Medals,North Korea_Medals,North Macedonia_Medals,Norway_Medals,Pakistan_Medals,Panama_Medals,Paraguay_Medals,Peru_Medals,Philippines_Medals,Poland_Medals,Portugal_Medals,Puerto Rico_Medals,Qatar_Medals,ROC_Medals,Republic of China_Medals,Romania_Medals,Russia_Medals,Russian Empire_Medals,Samoa_Medals,San Marino_Medals,Saudi Arabia_Medals,Senegal_Medals,Serbia and Montenegro_Medals,Serbia_Medals,Singapore_Medals,Slovakia_Medals,Slovenia_Medals,South Africa_Medals,South Korea_Medals,Soviet Union_Medals,Spain_Medals,Sri Lanka_Medals,Sudan_Medals,Suriname_Medals,Sweden_Medals,Switzerland_Medals,Syria_Medals,Tajikistan_Medals,Tanzania_Medals,Thailand_Medals,Togo_Medals,Tonga_Medals,Trinidad and Tobago_Medals,Tunisia_Medals,Turkey_Medals,Turkmenistan_Medals,Uganda_Medals,Ukraine_Medals,Unified Team_Medals,United Arab Emirates_Medals,United States_Medals,United Team of Germany_Medals,Uruguay_Medals,Uzbekistan_Medals,Venezuela_Medals,Vietnam_Medals,Virgin Islands_Medals,West Germany_Medals,Yugoslavia_Medals,Zambia_Medals,Zimbabwe_Medals
1896,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,11.0,,,13.0,,7.0,47.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,
1900,,,,,,5.0,6.0,,,,,,17.0,,2.0,,,,,,,,2.0,,,,,,,,2.0,,,,6.0,,,,,,,,,,,102.0,,,9.0,,32.0,,,,,,,5.0,,,,2.0,,,,,,5.0,,,,,,,,,,,,,1.0,,,,,19.0,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,9.0,,,,,,,,,,,,,,,48.0,,,,,,,,,,
1904,,,,,,4.0,3.0,,,,,,,,,,,,,,,,6.0,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,15.0,,2.0,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,231.0,,,,,,,,,,
1908,,,,,5.0,,1.0,,,,,,8.0,,2.0,,,,,,,,16.0,,,,,,,,,,,,5.0,,,,,,,,,,5.0,19.0,,,13.0,,146.0,4.0,,,,,,9.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,8.0,,,,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,25.0,,,,,,,,,,,,,,,,47.0,,,,,,,,,,
1912,,,,,7.0,,4.0,,,,,,6.0,,,,,,,,,,8.0,,,,,,,,,,,,12.0,,,,,,,,,,26.0,15.0,,,26.0,,41.0,2.0,,,,,,8.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,10.0,,,,,,,,,,,,,,5.0,,,,,,,,,,6.0,,,,,,,65.0,1.0,,,,,,,,,,,,,,,64.0,,,,,,,,,,
1920,,,,,,3.0,,,,,,,42.0,,,,3.0,,,,,,9.0,,,,,,,,,,,2.0,13.0,,,,,,,3.0,,,34.0,41.0,,,,,43.0,1.0,,,,,,,,,,,,,,,,23.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,11.0,1.0,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,2.0,,,,64.0,11.0,,,,,,,,,,,,,,,95.0,,,,,,,,,,
1924,,,6.0,,,6.0,4.0,,,,,,13.0,,,,,,,,,,4.0,,,,,,,,,,,10.0,9.0,,,,,,,6.0,,,37.0,38.0,,,,,34.0,,,,,1.0,,9.0,,,,,,,,,,16.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,,,,10.0,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,29.0,25.0,,,,,,,,,,,,,,,99.0,,1.0,,,,,,2.0,,
1928,,,7.0,,,4.0,3.0,,,,,,3.0,,,,,,,,,,15.0,,1.0,,,,,,,,,9.0,6.0,,,,,4.0,,5.0,,,25.0,21.0,,,31.0,,20.0,,,,,1.0,,9.0,,,,1.0,,,,1.0,,19.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,19.0,1.0,,,,,4.0,,,,,1.0,5.0,1.0,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,25.0,15.0,,,,,,,,,,,,,,,56.0,,1.0,,,,,,5.0,,
1932,,,4.0,,,5.0,5.0,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,4.0,6.0,,,,,,,,,,25.0,19.0,,,20.0,,16.0,,,,,,,15.0,,,,1.0,,,,2.0,,36.0,,,18.0,,,,,,,1.0,,,,,,,2.0,,,,,,,,,7.0,1.0,,,,,,,,,,3.0,7.0,,,,,,,,,,,,,,,,,,5.0,,,1.0,,,,23.0,1.0,,,,,,,,,,,,,,,103.0,,1.0,,,,,,,,
1936,,,7.0,,,1.0,13.0,,,,,,2.0,,,,,,,,,,9.0,,,,,,,,,,,8.0,5.0,,,,,5.0,,7.0,,,19.0,19.0,,,89.0,,14.0,,,,,,,16.0,,,,1.0,,,,,,22.0,,,18.0,,,,,,,2.0,,,,,,,3.0,,,,,,,,,17.0,1.0,,,,,6.0,,,,,1.0,6.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,20.0,15.0,,,,,,,,,2.0,,,,,,56.0,,,,,,,,1.0,,
