Year,Host City,Male Athletes Count,Female Athletes Count
1896,Athens,241,0
1900,Paris,975,22
1904,St. Louis,651,6
1908,London,1971,37
1912,Stockholm,2359,48
1920,Antwerp,2561,65
1924,Paris,2956,136
1928,Amsterdam,2724,277
1932,Los Angeles,1408,127
1936,Berlin,3738,328
1948,London,3714,390
1952,Helsinki,4436,519
1956,Melbourne,2938,376
1960,Rome,4738,611
1964,Tokyo,4473,683
1968,Mexico City,4735,781
1972,Munich,6065,1059
1976,Montreal,4824,1260
1980,Moscow,4015,1115
1984,Los Angeles,5263,1566
1988,Seoul,6197,2186
1992,Barcelona,7954,2704
1996,Atlanta,7800,3512
2000,Sydney,6582,4069
2004,Athens,6296,4329
2008,Beijing,6305,4637
2012,London,5990,4676
2016,Rio de Janeiro,6179,4769
2021,Tokyo,5975,5058
2024,Paris,5250,5250
