country,continent,lifeExp,pop,gdpPercap
Algeria,Africa,72.301,33333216,6223.367465
Angola,Africa,42.731,12420476,4797.231267
Benin,Africa,56.728,8078314,1441.284873
Botswana,Africa,50.728,1639131,12569.85177
Burkina Faso,Africa,52.295,14326203,1217.032994
Burundi,Africa,49.58,8390505,430.0706916
Cameroon,Africa,50.43,17696293,2042.09524
Central African Republic,Africa,44.741,4369038,706.016537
Chad,Africa,50.651,10238807,1704.063724
Comoros,Africa,65.152,710960,986.1478792
Democratic Republic of the Congo,Africa,46.462,64606759,277.5518587
Republic of the Congo,Africa,55.322,3800610,3632.557798
Cote d'Ivoire,Africa,48.328,18013409,1544.750112
Djibouti,Africa,54.791,496374,2082.481567
Egypt,Africa,71.338,80264543,5581.180998
Equatorial Guinea,Africa,51.579,551201,12154.08975
Eritrea,Africa,58.04,4906585,641.3695236
Ethiopia,Africa,52.947,76511887,690.8055759
Gabon,Africa,56.735,1454867,13206.48452
Gambia,Africa,59.448,1688359,752.7497265
Ghana,Africa,60.022,22873338,1327.60891
Guinea,Africa,56.007,9947814,942.6542111
Guinea-Bissau,Africa,46.388,1472041,579.231743
Kenya,Africa,54.11,35610177,1463.249282
Lesotho,Africa,42.592,2012649,1569.331442
Liberia,Africa,45.678,3193942,414.5073415
Libya,Africa,73.952,6036914,12057.49928
Madagascar,Africa,59.443,19167654,1044.770126
Malawi,Africa,48.303,13327079,759.3499101
Mali,Africa,54.467,12031795,1042.581557
Mauritania,Africa,64.164,3270065,1803.151496
Mauritius,Africa,72.801,1250882,10956.99112
Morocco,Africa,71.164,33757175,3820.17523
Mozambique,Africa,42.082,19951656,823.6856205
Namibia,Africa,52.906,2055080,4811.060429
Niger,Africa,56.867,12894865,619.6768924
Nigeria,Africa,46.859,135031164,2013.977305
Reunion,Africa,76.442,798094,7670.122558
Rwanda,Africa,46.242,8860588,863.0884639
Sao Tome and Principe,Africa,65.528,199579,1598.435089
Senegal,Africa,63.062,12267493,1712.472136
Sierra Leone,Africa,42.568,6144562,862.5407561
Somalia,Africa,48.159,9118773,926.1410683
South Africa,Africa,49.339,43997828,9269.657808
Sudan,Africa,58.556,42292929,2602.394995
Swaziland,Africa,39.613,1133066,4513.480643
Tanzania,Africa,52.517,38139640,1107.482182
Togo,Africa,58.42,5701579,882.9699438
Tunisia,Africa,73.923,10276158,7092.923025
Uganda,Africa,51.542,29170398,1056.380121
Zambia,Africa,42.384,11746035,1271.211593
Zimbabwe,Africa,43.487,12311143,469.7092981
