Name,Rating,Country,Category,Price,ABV,Age,Brand
1972 Ridgemont Reserve Kentucky Straight Bourbon Whiskey,83,USA,Bourbon,28,46,*,Ridgemont Reserve
8 Seconds Canadian Whiskey,64,Canada,Blended,30,40,*,8 Seconds
A.H. Hirsch Finest Reserve 20 Bourbon,*,USA,Bourbon,280,45,16,A.H. Hirsch
Aberfeldy 12 Year Old Single Malt Scotch,96,Scotland,Highlands,30,40,12,Aberfeldy
Aberfeldy 21 Year Old Single Malt Scotch,94,Scotland,Highlands,150,40,21,Aberfeldy
Aberlour 16 Year Old Single Malt Scotch,89,Scotland,Speyside,65,43,16,Aberlour
Aberlour 18 Year Old Single Malt Scotch,99,Scotland,Speyside,100,43,18,Aberlour
Aberlour A'Bunadh Batch 21 Scotch,90,Scotland,Speyside,63,59.5,21,Aberlour
Abraham Bowman Rye Whiskey,94,USA,Rye,70,68.2,9,Abraham Bowman
Amrut Fusion Single Malt Whisky,85,India,Single Malt,65,50,*,Amrut
Amrut Indian Single Malt Whisky,76,India,Single Malt,36,46,*,Amrut
Amrut Indian Single Malt Whisky Cask Strength,91,India,Single Malt,50,61.8,*,Amrut
Amrut Peated Indian Single Malt Whiskey Cask Strength,80,India,Single Malt,85,62.8,*,Amrut
Amrut Peated Indian Single Malt Whisky,76,India,Single Malt,70,46,*,Amrut
Ancnoc 16 Year Old Single Malt Scotch,94,Scotland,Highlands,60,46,16,Ancnoc
Ardbeg Airigh Nam Beist Scotch,94,Scotland,Islay,115,46,16,Ardbeg
Ardbeg Uigeadail,99,Scotland,Islay,80,54.2,*,Ardbeg
Ardmore Traditional Cask Highland Single Malt Scotch Whisky,72,Scotland,Speyside,48,46,30,Ardmore
Auchentoshan 18-Year Old Single Malt Scotch Whisky,85,Scotland,Lowlands,98,54.7,18,Auchentoshan
Baker's Kentucky Straight Bourbon Whiskey,76,USA,Bourbon,38,53,7,Jim Beam
Balblair 1997 Highland Single Malt Scotch Whisky,81,Scotland,Highlands,58,43,*,Balblair
Balblair Single Malt Scotch,92,Scotland,Highlands,109,43,17,Balblair
Balcones True Blue Cask Strength Corn Whiskey,88,USA,Corn,59,63,*,Balcones
Balvenie 12 Year Old Doublewood Single Malt Scotch,99,Scotland,Speyside,45,40,12,Balvenie
Balvenie 14 Year Old Single Malt Scotch,99,Scotland,Speyside,60,43,14,Balvenie
Balvenie 15 Year Old Single Barrel Single Malt Scotch,86,Scotland,Speyside,49,47.8,15,Balvenie
Balvenie 17 Year Old Single Malt Scotch,88,Scotland,Speyside,128,43,17,Balvenie
